id,date_time,date_time_of_next_variable_1,hours_until_next_1,date_time_of_next_variable_2,hours_until_next_2,score,ScoreCategory,filter_$,accesscomplexity,confidentialityimpact,integrityimpact,availabilityimpact
CVE-2006-0119,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/10/2006 16:03:00,34,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0128,1/9/2006 6:03:00,1/10/2006 16:03:00,34,1/10/2006 17:03:00,1,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0020,1/10/2006 16:03:00,1/10/2006 17:03:00,1,1/13/2006 18:03:00,73,9.3,4,1,MEDIUM,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0010,1/10/2006 17:03:00,1/13/2006 18:03:00,73,1/16/2006 16:03:00,70,9.3,4,1,MEDIUM,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0200,1/13/2006 18:03:00,1/16/2006 16:03:00,70,1/18/2006 6:03:00,38,9.3,4,1,MEDIUM,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0218,1/16/2006 16:03:00,1/18/2006 6:03:00,38,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0290,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 19:03:00,13,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0291,1/18/2006 6:03:00,1/18/2006 19:03:00,13,1/18/2006 20:03:00,1,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0256,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0257,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0258,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0259,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0260,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0261,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0262,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0263,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0265,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0266,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,9,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0267,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,9,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0268,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,9,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0270,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0271,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0272,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,9,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0273,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0274,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0276,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0277,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0278,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0279,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0280,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0281,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0282,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0283,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0284,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0285,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0286,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0287,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0288,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0289,1/18/2006 6:03:00,1/18/2006 6:03:00,0,1/18/2006 6:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0303,1/18/2006 19:03:00,1/18/2006 20:03:00,1,1/18/2006 20:03:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0316,1/18/2006 20:03:00,1/25/2006 6:03:00,154,2/13/2006 6:06:00,456.05,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0226,1/18/2006 20:03:00,1/18/2006 20:03:00,0,1/25/2006 6:03:00,154,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0411,1/25/2006 6:03:00,2/13/2006 6:06:00,456.05,2/13/2006 17:02:00,10.9333333333333,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0665,2/13/2006 6:06:00,2/13/2006 17:02:00,10.9333333333333,2/14/2006 14:06:00,21.0666666666667,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0672,2/13/2006 17:02:00,2/14/2006 14:06:00,21.0666666666667,2/14/2006 17:06:00,3,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0005,2/14/2006 14:06:00,2/14/2006 17:06:00,3,2/14/2006 19:02:00,1.93333333333333,9.3,4,1,MEDIUM,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0006,2/14/2006 17:06:00,2/14/2006 19:02:00,1.93333333333333,2/14/2006 19:02:00,0,9.3,4,1,MEDIUM,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0685,2/14/2006 19:02:00,2/14/2006 19:02:00,0,2/15/2006 6:06:00,11.0666666666667,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0686,2/14/2006 19:02:00,2/15/2006 6:06:00,11.0666666666667,2/15/2006 6:06:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0698,2/15/2006 6:06:00,2/15/2006 6:06:00,0,2/17/2006 21:02:00,62.9333333333333,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0708,2/15/2006 6:06:00,2/17/2006 21:02:00,62.9333333333333,2/19/2006 6:02:00,33,9.3,4,1,MEDIUM,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0697,2/15/2006 6:06:00,2/15/2006 6:06:00,0,2/15/2006 6:06:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0751,2/17/2006 21:02:00,2/19/2006 6:02:00,33,2/23/2006 18:02:00,108,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0789,2/19/2006 6:02:00,2/23/2006 18:02:00,108,2/24/2006 6:02:00,12,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0864,2/23/2006 18:02:00,2/24/2006 6:02:00,12,2/24/2006 17:02:00,11,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0874,2/24/2006 6:02:00,2/24/2006 17:02:00,11,2/27/2006 15:06:00,70.0666666666667,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0884,2/24/2006 17:02:00,2/27/2006 15:06:00,70.0666666666667,3/3/2006 6:02:00,86.9333333333333,9.3,4,1,MEDIUM,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0736,2/27/2006 15:06:00,3/3/2006 6:02:00,86.9333333333333,3/6/2006 15:06:00,81.0666666666667,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-0979,3/3/2006 6:02:00,3/6/2006 15:06:00,81.0666666666667,3/6/2006 15:06:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-1002,3/6/2006 15:06:00,3/6/2006 19:02:00,3.93333333333333,3/7/2006 6:02:00,11,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-1000,3/6/2006 15:06:00,3/6/2006 15:06:00,0,3/6/2006 19:02:00,3.93333333333333,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-1017,3/6/2006 19:02:00,3/7/2006 6:02:00,11,3/7/2006 6:02:00,0,9.3,4,1,MEDIUM,COMPLETE,COMPLETE,COMPLETE
CVE-2006-1047,3/7/2006 6:02:00,3/7/2006 18:02:00,12,3/8/2006 19:02:00,25,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-1038,3/7/2006 6:02:00,3/7/2006 6:02:00,0,3/7/2006 18:02:00,12,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-1069,3/7/2006 18:02:00,3/8/2006 19:02:00,25,3/9/2006 16:02:00,21,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-1085,3/8/2006 19:02:00,3/9/2006 16:02:00,21,3/18/2006 20:02:00,220,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
CVE-2006-1123,3/9/2006 16:02:00,3/18/2006 20:02:00,220,3/18/2006 20:02:00,0,10,4,1,LOW,COMPLETE,COMPLETE,COMPLETE
