id,date_time,date_time_of_next_variable_1,hours_until_next_1,date_time_of_next_variable_2,hours_until_next_2,score,ScoreCategory,filter_$,accesscomplexity,confidentialityimpact,integrityimpact,availabilityimpact
CVE-2006-0067,1/3/2006 17:03:00,1/3/2006 17:03:00,0,1/3/2006 17:03:00,0,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0065,1/3/2006 17:03:00,1/3/2006 17:03:00,0,1/3/2006 18:03:00,1,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0066,1/3/2006 17:03:00,1/3/2006 18:03:00,1,1/3/2006 19:03:00,1,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0068,1/3/2006 18:03:00,1/3/2006 19:03:00,1,1/3/2006 20:03:00,1,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0072,1/3/2006 19:03:00,1/3/2006 20:03:00,1,1/3/2006 20:03:00,0,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0074,1/3/2006 20:03:00,1/3/2006 20:03:00,0,1/3/2006 20:03:00,0,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0075,1/3/2006 20:03:00,1/3/2006 20:03:00,0,1/4/2006 1:03:00,5,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0076,1/3/2006 20:03:00,1/4/2006 1:03:00,5,1/4/2006 1:03:00,0,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0079,1/4/2006 1:03:00,1/4/2006 1:03:00,0,1/5/2006 6:03:00,29,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0081,1/4/2006 1:03:00,1/5/2006 6:03:00,29,1/5/2006 6:03:00,0,7.8,3,1,LOW,NONE,NONE,COMPLETE
CVE-2006-0085,1/5/2006 6:03:00,1/5/2006 6:03:00,0,1/5/2006 6:03:00,0,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0087,1/5/2006 6:03:00,1/5/2006 6:03:00,0,1/5/2006 6:03:00,0,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0088,1/5/2006 6:03:00,1/5/2006 6:03:00,0,1/6/2006 6:03:00,24,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0094,1/5/2006 6:03:00,1/6/2006 6:03:00,24,1/6/2006 6:03:00,0,7.5,3,1,LOW,PARTIAL,PARTIAL,PARTIAL
