id,date_time,date_time_of_next_variable_1,hours_until_next_1,date_time_of_next_variable_2,hours_until_next_2,score,ScoreCategory,filter_$,accesscomplexity,confidentialityimpact,integrityimpact,availabilityimpact
CVE-2006-0077,1/3/2006 20:03:00,1/6/2006 6:03:00,58,1/9/2006 6:03:00,72,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-0095,1/6/2006 6:03:00,1/9/2006 6:03:00,72,1/11/2006 16:03:00,58,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0133,1/9/2006 6:03:00,1/11/2006 16:03:00,58,1/11/2006 16:03:00,0,3.6,1,1,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-0172,1/11/2006 16:03:00,1/13/2006 18:03:00,50,1/13/2006 18:03:00,0,3.5,1,1,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0055,1/11/2006 16:03:00,1/11/2006 16:03:00,0,1/13/2006 18:03:00,50,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-0208,1/13/2006 18:03:00,1/17/2006 15:07:00,93.0666666666667,1/17/2006 16:03:00,.933333333333333,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0202,1/13/2006 18:03:00,1/13/2006 18:03:00,0,1/17/2006 15:07:00,93.0666666666667,3.6,1,1,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-0227,1/17/2006 15:07:00,1/17/2006 16:03:00,.933333333333333,1/22/2006 14:03:00,118,2.6,1,1,HIGH,NONE,PARTIAL,PARTIAL
CVE-2006-0229,1/17/2006 16:03:00,1/22/2006 14:03:00,118,1/22/2006 15:03:00,1,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-0353,1/22/2006 14:03:00,1/22/2006 15:03:00,1,1/22/2006 15:03:00,0,3.6,1,1,LOW,PARTIAL,NONE,PARTIAL
CVE-2006-0369,1/22/2006 15:03:00,1/25/2006 17:03:00,74,1/25/2006 17:03:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0363,1/22/2006 15:03:00,1/22/2006 15:03:00,0,1/25/2006 17:03:00,74,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0380,1/25/2006 17:03:00,1/25/2006 18:07:00,1.06666666666667,1/25/2006 18:07:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0379,1/25/2006 17:03:00,1/25/2006 17:03:00,0,1/25/2006 18:07:00,1.06666666666667,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0427,1/25/2006 18:07:00,1/25/2006 18:07:00,0,1/25/2006 18:07:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0429,1/25/2006 18:07:00,1/25/2006 18:07:00,0,1/25/2006 18:07:00,0,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-0432,1/25/2006 18:07:00,1/31/2006 14:03:00,139.933333333333,1/31/2006 21:02:00,6.98333333333333,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-0431,1/25/2006 18:07:00,1/25/2006 18:07:00,0,1/31/2006 14:03:00,139.933333333333,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0482,1/31/2006 14:03:00,1/31/2006 21:02:00,6.98333333333333,2/2/2006 6:02:00,33,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-0488,1/31/2006 21:02:00,2/2/2006 6:02:00,33,2/2/2006 6:02:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0512,2/2/2006 6:02:00,2/2/2006 6:02:00,0,2/3/2006 19:06:00,37.0666666666667,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-0516,2/2/2006 6:02:00,2/3/2006 19:06:00,37.0666666666667,2/7/2006 20:02:00,96.9333333333333,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-0538,2/3/2006 19:06:00,2/7/2006 20:02:00,96.9333333333333,2/7/2006 20:02:00,0,2.6,1,1,HIGH,NONE,NONE,PARTIAL
CVE-2006-0591,2/7/2006 20:02:00,2/10/2006 6:02:00,58,2/10/2006 6:02:00,0,1.2,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-0582,2/7/2006 20:02:00,2/7/2006 20:02:00,0,2/7/2006 20:02:00,0,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-0584,2/7/2006 20:02:00,2/7/2006 20:02:00,0,2/10/2006 6:02:00,58,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0641,2/10/2006 6:02:00,2/13/2006 6:06:00,72.0666666666667,2/14/2006 14:06:00,32,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-0640,2/10/2006 6:02:00,2/10/2006 6:02:00,0,2/13/2006 6:06:00,72.0666666666667,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-0657,2/13/2006 6:06:00,2/14/2006 14:06:00,32,2/14/2006 17:06:00,3,3.5,1,1,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0678,2/14/2006 14:06:00,2/14/2006 17:06:00,3,2/15/2006 6:06:00,13,1.5,1,1,MEDIUM,NONE,NONE,PARTIAL
CVE-2006-0382,2/14/2006 17:06:00,2/15/2006 6:06:00,13,2/16/2006 6:02:00,23.9333333333333,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-0704,2/15/2006 6:06:00,2/16/2006 6:02:00,23.9333333333333,2/16/2006 6:02:00,0,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-0733,2/16/2006 6:02:00,2/17/2006 21:02:00,39,2/17/2006 21:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0722,2/16/2006 6:02:00,2/16/2006 6:02:00,0,2/16/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0723,2/16/2006 6:02:00,2/16/2006 6:02:00,0,2/16/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0724,2/16/2006 6:02:00,2/16/2006 6:02:00,0,2/17/2006 21:02:00,39,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0753,2/17/2006 21:02:00,2/17/2006 21:02:00,0,2/18/2006 16:02:00,19,2.6,1,1,HIGH,NONE,NONE,PARTIAL
CVE-2006-0760,2/17/2006 21:02:00,2/18/2006 16:02:00,19,2/20/2006 17:02:00,49,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-0770,2/18/2006 16:02:00,2/20/2006 17:02:00,49,2/20/2006 17:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0800,2/20/2006 17:02:00,2/20/2006 17:02:00,0,2/20/2006 21:02:00,4,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0802,2/20/2006 17:02:00,2/20/2006 21:02:00,4,2/21/2006 21:02:00,24,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0810,2/20/2006 21:02:00,2/21/2006 21:02:00,24,2/21/2006 21:02:00,0,3.5,1,1,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0838,2/21/2006 21:02:00,2/25/2006 6:02:00,81,2/25/2006 6:02:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0836,2/21/2006 21:02:00,2/21/2006 21:02:00,0,2/21/2006 21:02:00,0,2.6,1,1,HIGH,NONE,NONE,PARTIAL
CVE-2006-0837,2/21/2006 21:02:00,2/21/2006 21:02:00,0,2/25/2006 6:02:00,81,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0898,2/25/2006 6:02:00,2/28/2006 6:02:00,72,2/28/2006 6:02:00,0,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-0888,2/25/2006 6:02:00,2/25/2006 6:02:00,0,2/28/2006 6:02:00,72,2.6,1,1,HIGH,NONE,NONE,PARTIAL
CVE-2006-0935,2/28/2006 6:02:00,3/2/2006 18:02:00,60,3/2/2006 18:02:00,0,2.6,1,1,HIGH,NONE,NONE,PARTIAL
CVE-2006-0917,2/28/2006 6:02:00,2/28/2006 6:02:00,0,2/28/2006 6:02:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0920,2/28/2006 6:02:00,2/28/2006 6:02:00,0,2/28/2006 6:02:00,0,1.7,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0926,2/28/2006 6:02:00,2/28/2006 6:02:00,0,2/28/2006 6:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0927,2/28/2006 6:02:00,2/28/2006 6:02:00,0,3/2/2006 18:02:00,60,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-0967,3/2/2006 18:02:00,3/3/2006 17:02:00,23,3/3/2006 17:02:00,0,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-0956,3/2/2006 18:02:00,3/2/2006 18:02:00,0,3/2/2006 18:02:00,0,1.7,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-0966,3/2/2006 18:02:00,3/2/2006 18:02:00,0,3/3/2006 17:02:00,23,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-0386,3/3/2006 17:02:00,3/3/2006 17:02:00,0,3/3/2006 17:02:00,0,1.7,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0388,3/3/2006 17:02:00,3/3/2006 17:02:00,0,3/3/2006 17:02:00,0,2.6,1,1,HIGH,NONE,PARTIAL,PARTIAL
CVE-2006-0391,3/3/2006 17:02:00,3/6/2006 16:02:00,71,3/6/2006 19:02:00,3,1.7,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-0389,3/3/2006 17:02:00,3/3/2006 17:02:00,0,3/6/2006 16:02:00,71,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1011,3/6/2006 16:02:00,3/6/2006 19:02:00,3,3/6/2006 21:02:00,2,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1014,3/6/2006 19:02:00,3/6/2006 21:02:00,2,3/6/2006 21:02:00,0,3.2,1,1,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-0554,3/6/2006 21:02:00,3/6/2006 21:02:00,0,3/6/2006 21:02:00,0,1.7,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-0741,3/6/2006 21:02:00,3/7/2006 6:02:00,9,3/7/2006 15:02:00,9,1.2,1,1,HIGH,NONE,NONE,PARTIAL
CVE-2006-0555,3/6/2006 21:02:00,3/6/2006 21:02:00,0,3/7/2006 6:02:00,9,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-1045,3/7/2006 6:02:00,3/7/2006 15:02:00,9,3/7/2006 16:06:00,1.06666666666667,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-1050,3/7/2006 15:02:00,3/7/2006 16:06:00,1.06666666666667,3/9/2006 8:06:00,40,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1064,3/7/2006 16:06:00,3/9/2006 8:06:00,40,3/9/2006 8:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1092,3/9/2006 8:06:00,3/9/2006 8:06:00,0,3/9/2006 8:06:00,0,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-1115,3/9/2006 8:06:00,3/9/2006 8:06:00,0,3/9/2006 16:02:00,7.93333333333333,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-1117,3/9/2006 8:06:00,3/9/2006 16:02:00,7.93333333333333,3/10/2006 6:02:00,14,2.6,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-1120,3/9/2006 16:02:00,3/10/2006 6:02:00,14,3/12/2006 16:02:00,58,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1144,3/10/2006 6:02:00,3/12/2006 16:02:00,58,3/13/2006 14:34:00,22.5333333333333,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1166,3/12/2006 16:02:00,3/13/2006 14:34:00,22.5333333333333,3/13/2006 20:06:00,5.53333333333333,3.7,1,1,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0950,3/13/2006 14:34:00,3/13/2006 20:06:00,5.53333333333333,3/14/2006 6:02:00,9.93333333333333,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1198,3/13/2006 20:06:00,3/14/2006 6:02:00,9.93333333333333,3/14/2006 14:06:00,8.06666666666667,3.7,1,1,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-1224,3/14/2006 6:02:00,3/14/2006 14:06:00,8.06666666666667,3/15/2006 20:02:00,29.9333333333333,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1231,3/14/2006 14:06:00,3/15/2006 20:02:00,29.9333333333333,3/18/2006 20:02:00,72,1.2,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1182,3/15/2006 20:02:00,3/18/2006 20:02:00,72,3/18/2006 21:02:00,1,2.6,1,1,HIGH,PARTIAL,PARTIAL,NONE
CVE-2006-1256,3/18/2006 20:02:00,3/18/2006 21:02:00,1,3/19/2006 6:06:00,9.06666666666667,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1270,3/18/2006 21:02:00,3/19/2006 6:06:00,9.06666666666667,3/19/2006 18:02:00,11.9333333333333,3.5,1,1,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-1281,3/19/2006 6:06:00,3/19/2006 18:02:00,11.9333333333333,3/19/2006 18:02:00,0,3.5,1,1,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-1286,3/19/2006 18:02:00,3/20/2006 20:06:00,26.0666666666667,3/21/2006 13:02:00,16.9333333333333,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1285,3/19/2006 18:02:00,3/19/2006 18:02:00,0,3/20/2006 20:06:00,26.0666666666667,3.2,1,1,LOW,PARTIAL,PARTIAL,NONE
CVE-2006-1335,3/20/2006 20:06:00,3/21/2006 13:02:00,16.9333333333333,3/21/2006 13:02:00,0,3.7,1,1,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-1343,3/21/2006 13:02:00,3/23/2006 6:06:00,41.0666666666667,3/23/2006 21:02:00,14.9333333333333,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1342,3/21/2006 13:02:00,3/21/2006 13:02:00,0,3/23/2006 6:06:00,41.0666666666667,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-0050,3/23/2006 6:06:00,3/23/2006 21:02:00,14.9333333333333,3/26/2006 19:02:00,70,1.2,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1376,3/23/2006 21:02:00,3/26/2006 19:02:00,70,3/28/2006 15:02:00,44,2.1,1,1,LOW,NONE,NONE,PARTIAL
CVE-2006-1066,3/26/2006 19:02:00,3/28/2006 15:02:00,44,3/28/2006 20:06:00,5.06666666666667,1.2,1,1,HIGH,NONE,NONE,PARTIAL
CVE-2006-1418,3/28/2006 15:02:00,3/28/2006 20:06:00,5.06666666666667,3/28/2006 20:06:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1476,3/28/2006 20:06:00,3/30/2006 6:02:00,33.9333333333333,3/30/2006 12:06:00,6.06666666666667,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1475,3/28/2006 20:06:00,3/28/2006 20:06:00,0,3/30/2006 6:02:00,33.9333333333333,2.1,1,1,LOW,NONE,PARTIAL,NONE
CVE-2006-1542,3/30/2006 6:02:00,3/30/2006 12:06:00,6.06666666666667,3/31/2006 6:06:00,18,3.7,1,1,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-1059,3/30/2006 12:06:00,3/31/2006 6:06:00,18,4/3/2006 6:04:00,71.9666666666667,1.2,1,1,HIGH,PARTIAL,NONE,NONE
CVE-2006-1554,3/31/2006 6:06:00,4/3/2006 6:04:00,71.9666666666667,4/3/2006 6:04:00,0,2.6,1,1,HIGH,NONE,PARTIAL,NONE
CVE-2006-1588,4/3/2006 6:04:00,4/4/2006 6:04:00,24,4/4/2006 6:04:00,0,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1587,4/3/2006 6:04:00,4/3/2006 6:04:00,0,4/4/2006 6:04:00,24,2.1,1,1,LOW,PARTIAL,NONE,NONE
CVE-2006-1601,4/4/2006 6:04:00,4/6/2006 6:04:00,48,4/6/2006 6:04:00,0,1.7,1,1,LOW,PARTIAL,NONE,NONE
