id,date_time,date_time_of_next_variable_1,hours_until_next,date_time_of_next_variable_2,hours_until_next_2,score,ScoreCategory,accesscomplexity,confidentialityimpact,integrityimpact,availabilityimpact
CVE-2006-0069,1/3/2006 18:03:00,1/3/2006 19:03:00,1,1/3/2006 19:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0071,1/3/2006 19:03:00,1/3/2006 19:03:00,0,1/4/2006 1:03:00,6,6.6,2,LOW,COMPLETE,COMPLETE,NONE
CVE-2006-0073,1/3/2006 19:03:00,1/4/2006 1:03:00,6,1/4/2006 1:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0070,1/3/2006 19:03:00,1/3/2006 19:03:00,0,1/3/2006 19:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0078,1/4/2006 1:03:00,1/4/2006 1:03:00,0,1/4/2006 18:03:00,17,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0080,1/4/2006 1:03:00,1/4/2006 18:03:00,17,1/5/2006 6:03:00,12,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0082,1/4/2006 18:03:00,1/5/2006 6:03:00,12,1/5/2006 6:03:00,0,5.1,2,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0093,1/5/2006 6:03:00,1/5/2006 14:03:00,8,1/6/2006 0:00:00,9.95,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0091,1/5/2006 6:03:00,1/5/2006 6:03:00,0,1/5/2006 14:03:00,8,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0084,1/5/2006 6:03:00,1/5/2006 6:03:00,0,1/5/2006 6:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0086,1/5/2006 6:03:00,1/5/2006 6:03:00,0,1/5/2006 6:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0089,1/5/2006 6:03:00,1/5/2006 6:03:00,0,1/5/2006 6:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0090,1/5/2006 6:03:00,1/5/2006 6:03:00,0,1/5/2006 6:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0063,1/5/2006 14:03:00,1/6/2006 0:00:00,9.95,1/6/2006 6:03:00,6.05,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0341,1/6/2006 0:00:00,1/6/2006 6:03:00,6.05,1/6/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0103,1/6/2006 6:03:00,1/6/2006 6:03:00,0,1/6/2006 19:03:00,13,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0104,1/6/2006 6:03:00,1/6/2006 19:03:00,13,1/6/2006 19:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0098,1/6/2006 6:03:00,1/6/2006 6:03:00,0,1/6/2006 6:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0100,1/6/2006 6:03:00,1/6/2006 6:03:00,0,1/6/2006 6:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0101,1/6/2006 6:03:00,1/6/2006 6:03:00,0,1/6/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0102,1/6/2006 6:03:00,1/6/2006 6:03:00,0,1/6/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0110,1/6/2006 19:03:00,1/6/2006 19:03:00,0,1/6/2006 20:03:00,1,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0111,1/6/2006 19:03:00,1/6/2006 20:03:00,1,1/6/2006 20:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0109,1/6/2006 19:03:00,1/6/2006 19:03:00,0,1/6/2006 19:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0112,1/6/2006 20:03:00,1/6/2006 20:03:00,0,1/9/2006 6:03:00,58,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0113,1/6/2006 20:03:00,1/9/2006 6:03:00,58,1/9/2006 6:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0136,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 13:03:00,7,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0138,1/9/2006 6:03:00,1/9/2006 13:03:00,7,1/9/2006 14:07:00,1.06666666666667,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0114,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0116,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0117,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0118,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0120,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0122,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0124,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0125,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0126,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0127,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,4,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0129,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0131,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0132,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0134,1/9/2006 6:03:00,1/9/2006 6:03:00,0,1/9/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0139,1/9/2006 13:03:00,1/9/2006 14:07:00,1.06666666666667,1/9/2006 14:07:00,0,5,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0142,1/9/2006 14:07:00,1/9/2006 15:03:00,.933333333333333,1/9/2006 18:03:00,3,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0141,1/9/2006 14:07:00,1/9/2006 14:07:00,0,1/9/2006 15:03:00,.933333333333333,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0140,1/9/2006 14:07:00,1/9/2006 14:07:00,0,1/9/2006 14:07:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0083,1/9/2006 15:03:00,1/9/2006 18:03:00,3,1/9/2006 18:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0148,1/9/2006 18:03:00,1/9/2006 18:03:00,0,1/10/2006 6:03:00,12,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0149,1/9/2006 18:03:00,1/10/2006 6:03:00,12,1/10/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0145,1/9/2006 18:03:00,1/9/2006 18:03:00,0,1/9/2006 18:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0156,1/10/2006 6:03:00,1/10/2006 6:03:00,0,1/10/2006 14:03:00,8,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0157,1/10/2006 6:03:00,1/10/2006 14:03:00,8,1/10/2006 15:03:00,1,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0152,1/10/2006 6:03:00,1/10/2006 6:03:00,0,1/10/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0155,1/10/2006 6:03:00,1/10/2006 6:03:00,0,1/10/2006 6:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0161,1/10/2006 14:03:00,1/10/2006 15:03:00,1,1/11/2006 16:03:00,25,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0105,1/10/2006 15:03:00,1/11/2006 16:03:00,25,1/11/2006 16:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0175,1/11/2006 16:03:00,1/11/2006 16:03:00,0,1/12/2006 1:02:00,8.98333333333333,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0179,1/11/2006 16:03:00,1/12/2006 1:02:00,8.98333333333333,1/12/2006 1:02:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0035,1/11/2006 16:03:00,1/11/2006 16:03:00,0,1/11/2006 16:03:00,0,4.9,2,LOW,NONE,NONE,COMPLETE
CVE-2006-0054,1/11/2006 16:03:00,1/11/2006 16:03:00,0,1/11/2006 16:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0165,1/11/2006 16:03:00,1/11/2006 16:03:00,0,1/11/2006 16:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0168,1/11/2006 16:03:00,1/11/2006 16:03:00,0,1/11/2006 16:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0173,1/11/2006 16:03:00,1/11/2006 16:03:00,0,1/11/2006 16:03:00,0,4,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0174,1/11/2006 16:03:00,1/11/2006 16:03:00,0,1/11/2006 16:03:00,0,4,2,LOW,PARTIAL,NONE,NONE
CVE-2006-0185,1/12/2006 1:02:00,1/12/2006 1:02:00,0,1/13/2006 6:03:00,29.0166666666667,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0187,1/12/2006 1:02:00,1/13/2006 6:03:00,29.0166666666667,1/13/2006 6:03:00,0,5.1,2,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0180,1/12/2006 1:02:00,1/12/2006 1:02:00,0,1/12/2006 1:02:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0183,1/12/2006 1:02:00,1/12/2006 1:02:00,0,1/12/2006 1:02:00,0,6.5,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0193,1/13/2006 6:03:00,1/13/2006 6:03:00,0,1/13/2006 18:03:00,12,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0194,1/13/2006 6:03:00,1/13/2006 18:03:00,12,1/13/2006 18:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0191,1/13/2006 6:03:00,1/13/2006 6:03:00,0,1/13/2006 6:03:00,0,4.9,2,LOW,NONE,NONE,COMPLETE
CVE-2006-0205,1/13/2006 18:03:00,1/13/2006 18:03:00,0,1/13/2006 20:03:00,2,5.1,2,HIGH,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0207,1/13/2006 18:03:00,1/13/2006 20:03:00,2,1/13/2006 20:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0196,1/13/2006 18:03:00,1/13/2006 18:03:00,0,1/13/2006 18:03:00,0,4.6,2,LOW,PARTIAL,PARTIAL,PARTIAL
CVE-2006-0197,1/13/2006 18:03:00,1/13/2006 18:03:00,0,1/13/2006 18:03:00,0,5,2,LOW,NONE,NONE,PARTIAL
CVE-2006-0198,1/13/2006 18:03:00,1/13/2006 18:03:00,0,1/13/2006 18:03:00,0,4.3,2,MEDIUM,NONE,PARTIAL,NONE
CVE-2006-0201,1/13/2006 18:03:00,1/13/2006 18:03:00,0,1/13/2006 18:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
CVE-2006-0203,1/13/2006 18:03:00,1/13/2006 18:03:00,0,1/13/2006 18:03:00,0,5,2,LOW,NONE,PARTIAL,NONE
